IID	Region	FirstAA	LastAA	Closest	PcntC	BestAvg	PcntAvg	BestOdds	OddsB	2ndBestOdds	Odds2B	BestOddsInf	OddsBInf	2ndBestOddsInf	Odds2ndBInf	C	A	Odds	OddsInf	Call
250264	East Africa	1	321	A	4.9	A	7.7	A	-64	X22	-98	A	-8	X22	-15	A	A	A	A	A
250268	East Africa	1	321	A	5.2	A	8.1	A	-69	X09	-98	A	-13	X22	-21	A	A	A	A	A
250272	East Africa	1	321	A	5.1	A	7.7	A	-66	X01	-104	A	-11	X01	-19	A	A	A	A	A
250274	East Africa	1	321	A	5	A	7.9	A	-68	X09	-111	A	-17	X15	-27	A	A	A	A	A
250276	East Africa	1	321	A	4.2	A	7.8	A	-69	X02	-102	A	-9	X22	-18	A	A	A	A	A
250280	East Africa	1	321	A	4.7	A	7.5	A	-67	X01	-91	A	-9	X01	-15	A	A	A	A	A
250282	East Africa	1	321	A	5.4	A	7.3	A	-59	X22	-95	A	-9	X01	-21	A	A	A	A	A
250286	East Africa	1	321	A	3.7	A	6.9	A	-50	X09	-85	A	-14	X01	-26	A	A	A	A	A
250288	East Africa	1	321	A	5.1	A	7.6	A	-60	X01	-92	A	-10	X01	-18	A	A	A	A	A
250290	East Africa	1	321	A	5.3	A	7.9	A	-68	X01	-107	A	-12	X01	-22	A	A	A	A	A
250294	East Africa	1	321	A	5.1	A	7.6	A	-62	X01	-100	A	-9	X01	-19	A	A	A	A	A
250296	East Africa	1	321	A	5.8	A	8.9	A	-86	X02	-124	A	-13	A2	-22	A	A	A	A	A
250298	East Africa	1	321	A	4	A	7.1	A	-50	X01	-86	A	-14	X22	-22	A	A	A	A	A
250300	East Africa	1	321	A	4.4	A	7.8	A	-59	X09	-96	A	-15	X01	-25	A	A	A	A	A
250302	East Africa	1	321	A	5.7	A	8.6	A	-80	X01	-112	A	-9	X01	-17	A	A	A	A	A
250304	East Africa	1	321	A	4.9	A	7.5	A	-56	X22	-96	A	-10	X01	-20	A	A	A	A	A
250306	East Africa	1	321	A	3.7	A	6.3	A	-40	X01	-73	A	-8	X01	-14	A	A	A	A	A
250308	East Africa	1	321	A	4.4	A	7.1	A	-56	X22	-92	A	-11	X01	-20	A	A	A	A	A
250312	East Africa	1	321	A	5	A	7.4	A	-60	X01	-92	A	-12	X01	-24	A	A	A	A	A
250318	East Africa	1	321	A	3.5	X22	6.5	A	-46	X22	-79	A	-8	X22	-20	A	X22	A	A	A
250320	East Africa	1	321	A	7	A	9.4	A	-87	C	-104	A	-21	C	-28	A	A	A	A	A
250322	East Africa	1	321	A	4.9	A	7.3	A	-64	X22	-99	A	-8	X01	-18	A	A	A	A	A
250324	East Africa	1	321	A	4.9	A	7.6	A	-72	X01	-104	A	-8	X01	-16	A	A	A	A	A
250326	East Africa	1	321	A	5.9	X15	7.9	A	-76	X01	-96	A	-10	X22	-17	A	X15	A	A	A
250330	East Africa	1	320	A	5.2	A	7.5	A	-62	X22	-99	A	-12	X22	-23	A	A	A	A	A
250332	East Africa	1	321	A	4.3	X22	7.3	A	-55	X22	-84	A	-12	X53	-18	A	X22	A	A	A
250338	East Africa	1	321	A	4.7	A	7.6	A	-69	X22	-103	A	-10	A2	-19	A	A	A	A	A
250344	East Africa	1	321	A	6	X59	7.5	A	-69	X01	-97	A	-10	X22	-18	A	X59	A	A	A
250346	East Africa	1	321	A	4.1	A	7	A	-56	X22	-89	A	-8	X15	-16	A	A	A	A	A
250356	East Africa	1	321	A	5.8	A	8.4	A	-77	X09	-112	A	-15	X16	-26	A	A	A	A	A
250360	East Africa	1	321	A	4.7	A	7.1	A	-59	X22	-92	A	-11	X01	-18	A	A	A	A	A
250364	East Africa	1	321	A	4.9	A	7.2	A	-63	X01	-99	A	-10	X01	-18	A	A	A	A	A
250368	East Africa	1	321	A	4.6	X22	7.4	A	-57	X22	-91	A	-8	X22	-17	A	X22	A	A	A
250370	East Africa	1	321	A	3.2	A	6.2	A	-38	X01	-79	A	-11	A2	-24	A	A	A	A	A
250378	East Africa	1	321	A	5.1	A	7.8	A	-70	X01	-104	A	-7	X01	-13	A	A	A	A	A
250380	East Africa	1	321	A	4.2	A	7.8	A	-68	X22	-100	A	-10	X22	-18	A	A	A	A	A
250382	East Africa	1	321	A	5.8	A	8.4	A	-77	X09	-114	A	-15	X01	-25	A	A	A	A	A
250384	East Africa	1	321	A	4.9	A	7.2	A	-57	X01	-92	A	-8	X01	-19	A	A	A	A	A
250386	East Africa	1	321	A	4.1	A	8	A	-68	X35	-108	A	-11	A2	-22	A	A	A	A	A
250390	East Africa	1	321	A	4.7	X22	6.8	A	-59	X22	-84	A	-11	X22	-21	A	X22	A	A	A
250396	East Africa	1	321	A	5.6	A	7.9	A	-66	X01	-99	A	-13	X01	-19	A	A	A	A	A
250398	East Africa	1	321	A	4.7	A	7.4	A	-60	X01	-97	A	-13	X01	-21	A	A	A	A	A
250400	East Africa	1	321	A	5.4	A	7.3	A	-60	X02	-96	A	-13	X01	-20	A	A	A	A	A
250402	East Africa	1	321	A	7.1	X35	9.4	A	-105	D	-107	A	-17	D	-21	A	X35	A	A	A
250404	East Africa	1	321	A	4.4	A	7.6	A	-62	X01	-95	A	-10	X22	-20	A	A	A	A	A
250406	East Africa	1	321	A	5.4	A	7.5	A	-58	X01	-92	A	-11	A2	-21	A	A	A	A	A
250408	East Africa	1	321	A	5.1	A	7.6	A	-57	X22	-89	A	-23	X48	-33	A	A	A	A	A
250416	East Africa	1	321	A	4.4	A	7.8	A	-72	X01	-105	A	-9	A2	-18	A	A	A	A	A
250418	East Africa	1	321	A	5.6	A	8.1	A	-80	X01	-114	A	-10	X53	-19	A	A	A	A	A
250422	East Africa	1	321	A	5.6	A	8.6	A	-78	X01	-116	A	-10	X16	-19	A	A	A	A	A
250424	East Africa	1	321	A	5.8	X35	8.9	A	-85	D	-100	A	-20	D	-26	A	X35	A	A	A
250428	East Africa	1	321	A	4.3	A	7.1	A	-52	X01	-95	A	-10	X01	-19	A	A	A	A	A
250430	East Africa	1	321	A	5	A	8.1	A	-70	X09	-110	A	-18	A2	-30	A	A	A	A	A
250434	East Africa	1	321	A	5.2	A	7.6	A	-66	X01	-97	A	-10	X01	-15	A	A	A	A	A
250436	East Africa	1	321	A	5.6	A	7.7	A	-63	H	-93	A	-22	C	-32	A	A	A	A	A
250438	East Africa	1	321	A	4.6	A	7.4	A	-54	X09	-93	A	-12	X01	-22	A	A	A	A	A
250440	East Africa	1	321	A	5	A	7.4	A	-61	X01	-93	A	-10	X01	-21	A	A	A	A	A
250444	East Africa	1	321	A	5.7	A	8	A	-77	X01	-109	A	-8	X22	-12	A	A	A	A	A
250448	East Africa	1	321	A	3.4	A	6.6	A	-45	X09	-85	A	-11	X01	-20	A	A	A	A	A
250450	East Africa	1	321	A	6.5	A	8.8	A	-90	X02	-124	A	-9	X01	-18	A	A	A	A	A
250452	East Africa	1	321	A	5.4	A	8.1	A	-72	X01	-110	A	-10	X01	-21	A	A	A	A	A
250454	East Africa	1	321	A	4.4	A	7.3	A	-62	X22	-98	A	-8	X22	-17	A	A	A	A	A
250458	East Africa	1	321	A	4.6	A	7.2	A	-64	X01	-99	A	-12	X01	-18	A	A	A	A	A
250460	East Africa	1	321	A	4.2	X22	6.8	A	-54	X01	-81	A	-9	X22	-16	A	X22	A	A	A
250464	East Africa	1	321	A	4.4	A	6.5	A	-49	X01	-78	A	-7	X01	-14	A	A	A	A	A
250468	East Africa	1	321	A	4.7	A	8	A	-66	X09	-104	A	-9	X01	-21	A	A	A	A	A
250470	East Africa	1	321	A	5	A	7.8	A	-66	X01	-100	A	-10	X01	-16	A	A	A	A	A
250474	East Africa	1	321	A	4.8	A	7.5	A	-67	X01	-105	A	-10	X01	-20	A	A	A	A	A
250476	East Africa	1	321	A	4.7	X22	6.2	A	-51	X22	-81	A	-8	X22	-13	A	X22	A	A	A
250478	East Africa	1	321	A	4.7	A	7.4	A	-56	A2	-101	A	-14	A2	-25	A	A	A	A	A
250480	East Africa	1	321	A	5.1	A	8	A	-74	X01	-107	A	-8	X22	-17	A	A	A	A	A
250482	East Africa	1	321	A	6.4	A	9	A	-100	X01	-125	A	-7	X01	-15	A	A	A	A	A
250486	East Africa	1	321	A	5.4	A	8.5	A	-76	X10	-106	A	-10	X01	-21	A	A	A	A	A
250488	East Africa	1	321	A	5	A	7.9	A	-66	X01	-99	A	-9	X01	-15	A	A	A	A	A
250490	East Africa	1	321	A	4.9	A	7.8	A	-68	X01	-102	A	-13	X01	-22	A	A	A	A	A
250492	East Africa	1	321	A	6.4	X15	8.8	A	-88	X22	-114	A	-11	X01	-15	A	X15	A	A	A
250496	East Africa	1	321	A	5.4	A	7.8	A	-62	C	-91	A	-25	C	-31	A	A	A	A	A
250498	East Africa	1	321	A	4.8	X22	6.8	A	-60	X22	-85	A	-10	X22	-16	A	X22	A	A	A
251026	Southern Africa	1	285	A	5.2	X35	8	A	-65	D	-75	A	-19	D	-22	A	X35	A	A	A
251119	Europe	38	246	A	3.8	A	7.2	A	-36	X22	-64	A	-9	X16	-16	A	A	A	A	A
251124	Europe	38	247	A	5.5	A	8.2	A	-50	X16	-80	A	-4	X22	-9	A	A	A	A	A
251130	Europe	38	247	A	3.6	A	7.2	A	-35	X01	-63	A	-10	X01	-19	A	A	A	A	A
251143	Europe	38	247	A	4.2	A	7.5	A	-40	X37	-67	A	-9	X22	-19	A	A	A	A	A
251145	Europe	38	247	A	4.3	A	7.3	A	-34	X01	-63	A	-9	X16	-13	A	A	A	A	A
251149	Europe	38	247	A	4.9	A	8.3	A	-48	X09	-76	A	-9	X22	-19	A	A	A	A	A
251150	Europe	38	247	A	4.3	A	7.3	A	-35	X22	-64	A	-9	X16	-13	A	A	A	A	A
251153	Europe	38	247	A	5	A	7.6	A	-41	X22	-67	A	-7	X16	-12	A	A	A	A	A
251154	Europe	38	247	A	3.7	A	7.4	A	-37	X01	-65	A	-10	X16	-20	A	A	A	A	A
251157	Europe	38	247	A	4.3	A-FSU	7.5	A	-39	X01	-65	A	-8	X22	-18	A	A-FSU	A	A	A
251159	Europe	38	247	A	4.7	A	7.7	A	-41	D	-71	A	-13	X16	-17	A	A	A	A	A
251161	Europe	38	247	A	4.6	A	7.6	A	-38	X01	-66	A	-11	X16	-16	A	A	A	A	A
251162	Europe	38	247	A	5.6	A	8.7	A	-49	X22	-74	A	-8	X22	-14	A	A	A	A	A
251169	Europe	38	247	A	2.9	A	6.5	A	-31	X22	-56	A	-8	X22	-16	A	A	A	A	A
251173	Europe	38	247	A	4.4	A	7.6	A	-42	X01	-68	A	-7	X01	-15	A	A	A	A	A
251176	Europe	38	247	A	3.8	A	7.2	A	-37	X01	-63	A	-10	X01	-19	A	A	A	A	A
251180	Europe	38	247	A	4	A	7	A	-36	X01	-60	A	-8	X01	-18	A	A	A	A	A
251184	Europe	38	247	A	5.2	A	8	A	-47	X01	-73	A	-8	X16	-16	A	A	A	A	A
251185	Europe	38	247	A	5.8	X22	7.8	A	-50	X22	-64	A	-14	X22	-19	A	X22	A	A	A
251189	Europe	38	247	A	3.7	A	7.2	A	-38	X01	-63	A	-9	X16	-16	A	A	A	A	A
251196	Europe	38	247	A	4.6	A	7.4	A	-39	X01	-66	A	-9	X16	-13	A	A	A	A	A
251199	Europe	38	247	A	3	A	6.5	A	-32	X22	-58	A	-7	X22	-11	A	A	A	A	A
251202	Europe	38	247	A	4.1	A	7.1	A	-33	X01	-62	A	-7	X16	-14	A	A	A	A	A
251207	Europe	38	247	A	4	A	7.9	A	-42	X01	-69	A	-8	X22	-16	A	A	A	A	A
251209	Europe	38	247	A	4.7	A	7.4	A	-38	X01	-68	A	-6	X22	-13	A	A	A	A	A
251217	Europe	38	247	A	3.3	A	6.7	A	-29	X01	-56	A	-7	X22	-15	A	A	A	A	A
251219	Europe	38	247	A	4	X59	7.2	A	-36	X22	-61	A	-7	X22	-13	A	X59	A	A	A
251224	Europe	38	247	A	4.3	A	7.5	A	-39	X01	-67	A	-9	X16	-13	A	A	A	A	A
251230	Europe	38	247	A	4	A-FSU	7.1	A	-36	X01	-62	A	-8	X22	-18	A	A-FSU	A	A	A
251232	Europe	38	247	A	4.4	A	7.7	A	-41	X37	-69	A	-9	X22	-19	A	A	A	A	A
251245	Europe	38	247	A	3.5	X59	6.8	A	-33	X01	-53	A	-7	X22	-14	A	X59	A	A	A
251253	Europe	38	247	A	3.2	A	6.6	A	-29	X01	-56	A	-7	X16	-15	A	A	A	A	A
251257	Europe	38	247	A	4	A-FSU	7.1	A	-35	X01	-63	A	-10	X16	-20	A	A-FSU	A	A	A
251261	Europe	38	247	A	4.6	A	7.7	A	-40	X01	-71	A	-8	A2	-16	A	A	A	A	A
251263	Europe	38	247	A	4.3	A	7.3	A	-35	X22	-64	A	-9	X16	-13	A	A	A	A	A
251269	Europe	38	247	A	4.1	A	7.6	A	-43	X01	-67	A	-9	X16	-16	A	A	A	A	A
251276	Europe	38	247	A	4.4	A	7.2	A	-37	X01	-64	A	-8	X22	-16	A	A	A	A	A
251277	Europe	38	247	A	3.8	X22	6.4	A	-29	X22	-53	A	-6	X22	-11	A	X22	A	A	A
251285	Europe	38	247	A	5	A	7.8	A	-39	X16	-70	A	-7	X22	-15	A	A	A	A	A
252580	West Africa	1	431	A	4.3	X22	6.8	A	-59	X01	-71	A	-12	X53	-15	A	X22	A	A	A
252620	West Africa	1	438	A	4.8	X22	6.5	A	-64	X22	-73	A	-14	X22	-16	A	X22	A	A	A
252630	West Africa	1	430	A	4.9	X36	7.9	A	-62	X02	-74	A	-17	X02	-18	A	X36	A	A	A
252840	Central Africa	1	340	A	6.2	A-FSU	8.5	A	-85	X22	-110	A	-13	X22	-19	A	A-FSU	A	A	A
252896	Central Africa	1	340	A	5.4	X22	7.4	A	-86	X22	-91	A	-7	X22	-10	A	X22	A	A	A
252912	Central Africa	1	340	A	4.8	X59	8.9	A	-92	X01	-114	A	-10	X22	-15	A	X59	A	A	A
252922	Central Africa	1	340	A	5.6	X22	6.8	A	-68	X22	-82	A	-10	X22	-14	A	X22	A	A	A
252938	Central Africa	1	320	A	6.2	X22	8.4	A	-95	X22	-104	A	-14	X22	-19	A	X22	A	A	A
253026	Central Africa	1	340	A	5.2	X22	6.9	A	-67	X22	-74	A	-14	X22	-18	A	X22	A	A	A
253066	Central Africa	1	340	A	6.3	X34	10.4	A	-112	X09	-129	A	-13	X16	-19	A	X34	A	A	A
253924	Asia	1	240	A	4.1	X15	6.7	A	-49	X01	-61	A	-9	X53	-14	A	X15	A	A	A
254006	Asia	1	278	A	4	X22	7.1	A	-60	X22	-78	A	-18	X22	-22	A	X22	A	A	A
254086	Asia	1	241	A	4.1	X15	6.6	A	-54	X01	-62	A	-8	X53	-11	A	X15	A	A	A
254641	Asia	1	278	A	4.5	A	7.4	A	-56	A2	-82	A	-8	X16	-16	A	A	A	A	A
257493	Europe	1	324	A	5.5	A	7.6	A	-65	X09	-96	A	-11	X01	-20	A	A	A	A	A
257542	Central Africa	1	257	A	2.7	X22	7	A	-49	X09	-67	A	-12	X22	-20	A	X22	A	A	A
257568	Central Africa	1	257	A	6.4	X22	8.2	A	-59	A2	-75	A	-23	A2	-28	A	X22	A	A	A
257576	Central Africa	1	257	A	2.6	X22	6.2	A	-43	X09	-58	A	-15	X22	-23	A	X22	A	A	A
257628	Central Africa	1	257	A	5.6	X22	7.1	A	-51	X01	-75	A	-10	X22	-12	A	X22	A	A	A
257630	Central Africa	1	257	A	4.6	X59	6.7	A	-45	X01	-65	A	-10	X22	-15	A	X59	A	A	A
257648	Central Africa	1	257	A	5	X22	7.2	A	-55	X01	-77	A	-14	X10	-22	A	X22	A	A	A
257656	Central Africa	1	257	A	8.1	X16	9.9	A	-82	X11	-87	A	-16	X16	-17	A	X16	A	A	A
257702	East Africa	1	314	A	6.5	X22	8.5	A	-74	X01	-98	A	-13	X01	-20	A	X22	A	A	A
257704	East Africa	1	314	A	5.6	X59	8.6	A	-77	X22	-102	A	-13	X22	-17	A	X59	A	A	A
257712	East Africa	1	307	A	5.6	X15	7.5	A	-62	X01	-82	A	-10	X22	-18	A	X15	A	A	A
257714	East Africa	1	307	A	5.5	A	8.2	A	-68	X22	-104	A	-10	X16	-19	A	A	A	A	A
257718	East Africa	1	314	A	5.7	X22	8	A	-66	X22	-97	A	-13	X22	-22	A	X22	A	A	A
257726	East Africa	1	309	A	6.8	A	8.9	A	-72	G	-90	A	-21	X02	-25	A	A	A	A	A
257736	East Africa	1	306	A	7.2	A	9.3	A	-80	G	-99	A	-13	X15	-21	A	A	A	A	A
257742	East Africa	1	312	A	7.7	A	10.6	A	-96	X09	-125	A	-15	X10	-24	A	A	A	A	A
257746	East Africa	1	315	A	4.5	A	7	A	-50	X01	-84	A	-9	X01	-21	A	A	A	A	A
257748	East Africa	1	304	A	6	A	8.8	A	-77	X01	-109	A	-13	X16	-23	A	A	A	A	A
257754	East Africa	1	298	A	5	X22	6.9	A	-57	X22	-81	A	-9	X22	-12	A	X22	A	A	A
257766	East Africa	1	313	A	6.7	X22	9	A	-84	X22	-108	A	-13	X22	-19	A	X22	A	A	A
257768	East Africa	1	311	A	4.7	A	7.6	A	-59	X01	-97	A	-9	A2	-20	A	A	A	A	A
257770	East Africa	1	315	A	5.3	X22	7.5	A	-66	X22	-95	A	-15	X22	-22	A	X22	A	A	A
257772	East Africa	1	307	A	5	A	7.3	A	-53	X09	-88	A	-12	X16	-19	A	A	A	A	A
257774	East Africa	1	312	A	6.6	A	9.5	A	-84	A2	-114	A	-18	X01	-26	A	A	A	A	A
257776	East Africa	1	307	A	5.9	X22	8.8	A	-76	X22	-104	A	-12	X22	-20	A	X22	A	A	A
257778	East Africa	1	309	A	5.1	X59	7.3	A	-58	X01	-94	A	-12	X01	-17	A	X59	A	A	A
257782	East Africa	1	310	A	6.4	A	9	A	-80	X02	-111	A	-13	X16	-23	A	A	A	A	A
257784	East Africa	1	302	A	5.3	X15	8	A	-65	X01	-93	A	-14	X16	-21	A	X15	A	A	A
257830	West Africa	1	334	A	6.2	X22	9.3	A	-92	X01	-107	A	-12	X22	-16	A	X22	A	A	A
257832	West Africa	1	335	A	5.6	X22	8	A	-69	X02	-89	A	-15	X37	-18	A	X22	A	A	A
257896	East Africa	1	334	A	4.7	X15	7.2	A	-56	X01	-80	A	-17	X16	-26	A	X15	A	A	A
257900	East Africa	1	334	A	6.6	X22	8.7	A	-96	X22	-117	A	-9	X22	-15	A	X22	A	A	A
257902	East Africa	1	334	A	6.3	X22	8.5	A	-87	X01	-113	A	-9	X22	-14	A	X22	A	A	A
257906	East Africa	1	334	A	7.5	X22	9.8	A	-108	X22	-128	A	-8	X22	-11	A	X22	A	A	A
257910	East Africa	1	334	A	6.8	X22	8.9	A	-98	X22	-124	A	-9	X22	-12	A	X22	A	A	A
257912	East Africa	1	334	A	7.9	A	9.9	A	-110	X09	-138	A	-15	A2	-22	A	A	A	A	A
257914	East Africa	1	334	A	7.1	A	9.2	A	-85	C	-106	A	-21	C	-28	A	A	A	A	A
257918	East Africa	1	334	A	6	A	8	A	-65	X33	-92	A	-19	X22	-28	A	A	A	A	A
257920	East Africa	1	334	A	6.8	X22	9.1	A	-87	X22	-112	A	-11	X22	-13	A	X22	A	A	A
257922	East Africa	1	334	A	7.4	X22	9	A	-99	X22	-126	A	-10	X22	-18	A	X22	A	A	A
257924	East Africa	1	333	A	8.4	X59	9.9	A	-114	C	-132	A	-22	H	-25	A	X59	A	A	A
257926	East Africa	1	334	A	6.1	X22	7.9	A	-95	X22	-113	A	-8	X22	-11	A	X22	A	A	A
257928	East Africa	1	334	A	6.2	X22	7.6	A	-81	X22	-101	A	-8	X22	-11	A	X22	A	A	A
257930	East Africa	1	334	A	7	X22	8.9	A	-93	X01	-116	A	-12	X22	-19	A	X22	A	A	A
257932	East Africa	1	334	A	6.3	X22	8.3	A	-81	X22	-108	A	-12	X22	-21	A	X22	A	A	A
257934	East Africa	1	335	A	7.1	A	8.9	A	-98	X01	-128	A	-9	X01	-17	A	A	A	A	A
